id,customer,accommodation,start_date,end_date,cost
0,9351,5208,2015-08-11,2015-08-14,2100.0
1,4088,13060,2016-12-18,2016-12-21,525.0
2,8686,12463,2022-04-20,2022-04-23,750.0
3,4737,3685,2018-01-15,2018-01-18,405.0
4,2291,2635,2018-09-26,2018-09-29,120.0
5,1233,10291,2015-10-03,2015-10-06,1800.0
6,4219,6388,2018-03-15,2018-03-18,720.0
7,4083,298,2020-03-09,2020-03-12,600.0
8,2078,15084,2020-04-24,2020-04-27,810.0
9,8962,2088,2015-12-17,2015-12-20,255.0
10,9471,10270,2017-11-03,2017-11-06,330.0
11,8552,12129,2017-01-31,2017-02-03,360.0
12,240,10141,2020-02-01,2020-02-04,360.0
13,6170,5546,2018-03-21,2018-03-24,243.0
14,9917,10507,2019-03-17,2019-03-20,720.0
15,1469,16033,2017-10-28,2017-10-31,675.0
16,5204,5981,2022-07-03,2022-07-06,648.0
17,3625,10971,2019-06-12,2019-06-15,597.0
18,9472,11190,2018-10-07,2018-10-10,741.0
19,49,11414,2020-03-22,2020-03-25,798.0
20,4952,1164,2015-03-24,2015-03-27,225.0
21,6606,14517,2018-11-06,2018-11-09,360.0
22,6127,15312,2017-12-26,2017-12-29,525.0
23,2897,16238,2018-03-24,2018-03-27,246.0
24,1867,11446,2020-05-14,2020-05-17,267.0
25,3936,12087,2020-10-05,2020-10-08,390.0
26,5373,1542,2022-03-05,2022-03-08,525.0
27,1561,13401,2017-06-23,2017-06-26,819.0
28,746,5826,2017-02-20,2017-02-23,555.0
29,9960,9291,2017-07-06,2017-07-09,417.0
30,4537,6690,2021-01-14,2021-01-17,360.0
31,2846,989,2019-01-15,2019-01-18,480.0
32,5455,7790,2017-01-22,2017-01-25,600.0
33,8420,15560,2020-02-26,2020-02-29,351.0
34,2341,1752,2016-12-25,2016-12-28,450.0
35,8065,13806,2018-03-27,2018-03-30,675.0
36,4576,5598,2020-01-05,2020-01-08,297.0
37,8256,13273,2019-12-04,2019-12-07,840.0
38,7167,7004,2017-07-24,2017-07-27,324.0
40,2035,1397,2015-10-26,2015-10-29,309.0
42,1321,11850,2017-02-16,2017-02-19,330.0
43,8232,5766,2018-01-16,2018-01-19,498.0
44,5319,11939,2021-04-10,2021-04-13,870.0
45,7553,16184,2021-02-02,2021-02-05,357.0
46,7328,4408,2018-06-12,2018-06-15,585.0
47,9354,8300,2020-05-19,2020-05-22,1362.0
48,383,12385,2020-04-27,2020-04-30,555.0
49,615,15738,2020-05-08,2020-05-11,1050.0
50,5013,7523,2021-08-23,2021-08-26,195.0
51,7810,2788,2021-07-11,2021-07-14,600.0
52,1922,11428,2022-09-03,2022-09-06,432.0
53,5657,8282,2017-10-15,2017-10-18,510.0
54,1684,13091,2022-02-18,2022-02-21,735.0
55,310,573,2016-09-26,2016-09-29,537.0
56,3663,13909,2022-02-24,2022-02-27,348.0
57,7317,9537,2017-07-02,2017-07-05,537.0
58,6940,14382,2022-01-07,2022-01-10,165.0
59,6861,13027,2017-05-02,2017-05-05,477.0
60,7360,9791,2017-03-07,2017-03-10,390.0
61,3708,16475,2022-06-02,2022-06-05,1500.0
62,9106,2951,2016-12-10,2016-12-13,567.0
63,1027,1046,2018-11-11,2018-11-14,180.0
64,5912,2623,2017-07-22,2017-07-25,600.0
65,6301,12071,2019-07-21,2019-07-24,330.0
66,4604,6346,2020-03-04,2020-03-07,327.0
67,9302,10021,2017-09-16,2017-09-19,423.0
68,1087,13814,2018-04-08,2018-04-11,555.0
69,4379,109,2017-04-15,2017-04-18,552.0
70,4720,16433,2019-10-09,2019-10-12,525.0
71,7580,2530,2019-04-14,2019-04-17,417.0
72,9910,1074,2021-01-23,2021-01-26,267.0
73,3068,5417,2018-09-03,2018-09-06,300.0
74,3112,7203,2016-10-22,2016-10-25,276.0
75,1889,10795,2016-11-18,2016-11-21,1335.0
76,5730,1524,2015-05-10,2015-05-13,900.0
77,5881,112,2021-09-30,2021-10-03,360.0
78,9958,15714,2020-12-15,2020-12-18,750.0
80,7005,3148,2021-01-16,2021-01-19,495.0
81,2764,12888,2019-01-12,2019-01-15,180.0
82,5200,1744,2021-12-16,2021-12-19,600.0
83,9131,7091,2022-12-15,2022-12-18,405.0
84,1504,6213,2021-06-19,2021-06-22,525.0
85,8701,4860,2020-02-04,2020-02-07,825.0
86,9814,6993,2015-08-24,2015-08-27,675.0
87,4620,2452,2019-11-21,2019-11-24,540.0
88,3071,10578,2015-04-17,2015-04-20,360.0
89,504,9997,2018-02-10,2018-02-13,675.0
90,6563,9495,2019-02-20,2019-02-23,1095.0
91,4979,256,2015-12-12,2015-12-15,198.0
92,201,1000,2016-11-13,2016-11-16,675.0
93,1072,3151,2015-07-10,2015-07-13,525.0
94,7131,16452,2015-10-29,2015-11-01,915.0
95,1993,9372,2019-09-14,2019-09-17,450.0
96,3880,3744,2019-03-19,2019-03-22,432.0
97,4268,12312,2017-10-02,2017-10-05,1443.0
98,3058,7932,2018-09-15,2018-09-18,609.0
99,6623,15386,2016-11-26,2016-11-29,525.0
100,5449,9408,2017-08-07,2017-08-10,357.0
101,5351,2322,2022-06-18,2022-06-21,540.0
102,1402,11141,2021-02-23,2021-02-26,1197.0
103,4247,8955,2020-02-13,2020-02-16,894.0
104,4935,12203,2021-03-30,2021-04-02,477.0
105,4277,7168,2021-09-11,2021-09-14,1647.0
106,4214,2292,2017-08-17,2017-08-20,450.0
107,8261,2463,2017-12-30,2018-01-02,750.0
108,4069,7397,2022-06-11,2022-06-14,690.0
109,7712,11897,2016-08-09,2016-08-12,405.0
110,595,16317,2016-04-20,2016-04-23,297.0
111,116,7078,2022-03-28,2022-03-31,99.0
112,5204,3000,2015-05-30,2015-06-02,597.0
113,5565,4179,2020-07-10,2020-07-13,537.0
114,4945,4824,2019-05-18,2019-05-21,525.0
115,9847,2150,2021-07-27,2021-07-30,2247.0
116,9622,3235,2016-09-19,2016-09-22,375.0
117,7365,11279,2018-01-24,2018-01-27,435.0
118,6137,2597,2019-12-18,2019-12-21,723.0
119,8833,13397,2021-12-08,2021-12-11,660.0
120,4288,4583,2018-02-21,2018-02-24,486.0
121,8638,15329,2017-08-18,2017-08-21,444.0
122,1517,1728,2018-09-28,2018-10-01,138.0
123,1084,14788,2017-04-25,2017-04-28,456.0
124,518,3409,2021-01-09,2021-01-12,570.0
125,6597,12238,2019-03-22,2019-03-25,954.0
126,2016,4812,2020-02-23,2020-02-26,675.0
127,4078,14803,2018-05-27,2018-05-30,1350.0
128,3165,11667,2021-03-14,2021-03-17,132.0
129,857,7480,2017-11-15,2017-11-18,294.0
130,8305,9601,2020-09-11,2020-09-14,1485.0
131,5012,859,2018-04-16,2018-04-19,858.0
132,3548,13958,2018-11-11,2018-11-14,525.0
133,7919,13656,2018-10-28,2018-10-31,513.0
134,189,1582,2020-10-13,2020-10-16,1350.0
135,8925,3512,2019-03-03,2019-03-06,480.0
136,8245,13442,2019-10-23,2019-10-26,2352.0
137,82,7760,2016-09-22,2016-09-25,390.0
138,7287,5396,2019-09-20,2019-09-23,975.0
139,6085,16178,2020-01-25,2020-01-28,570.0
140,7922,8465,2018-12-05,2018-12-08,1071.0
141,2782,4652,2020-08-10,2020-08-13,315.0
142,5785,454,2015-12-29,2016-01-01,450.0
143,965,1742,2021-12-10,2021-12-13,450.0
144,2725,6806,2021-01-11,2021-01-14,450.0
145,2268,3624,2017-11-07,2017-11-10,495.0
146,3200,7936,2015-06-26,2015-06-29,357.0
147,6576,10175,2017-06-01,2017-06-04,819.0
148,3128,11311,2016-10-19,2016-10-22,1197.0
149,8917,14053,2019-12-07,2019-12-10,867.0
150,8585,10425,2016-09-06,2016-09-09,537.0
151,7723,16182,2015-12-06,2015-12-09,234.0
152,5262,668,2022-01-27,2022-01-30,771.0
153,2659,9430,2018-01-20,2018-01-23,1551.0
