id,name,neighborhood,rating,price
0,Beautiful Queens Brownstone! - 5BR,Ridgewood,4.25,425.0
1,"Spacious Brooklyn Duplex, Patio + Garden",Sunset Park,2.0,275.0
2,"Lovely Room 1 in BEST AREA; Legal Rental, Spotless",South Slope,5.0,118.0
3,Spacious 3 Bedroom Duplex in Park Slope,Park Slope,4.0,160.0
4,Lovely Apt & Garden; BEST AREA; Legal; Spotless,Gowanus,,158.0
5,Sunny 2BR near subway & shops,Ditmars Steinway,2.0,140.0
6,"Charming Artist's Flat, East Village",East Village,4.0,169.0
7,BEAUTIFUL 2 BEDROOM APARTMENT,Bedford-Stuyvesant,5.0,150.0
8,Brooklyn Cove 1 Br Apt w/ Garden In Bushwick!!,Bushwick,5.0,77.0
9,Clean and convenient 2BR apartment,Ridgewood,5.0,193.0
10,3 floors of luxury!,Middle Village,4.5,350.0
11,wonderful sleep 4,Crown Heights,,138.0
12,"Maison des Sirenes1,bohemian, luminous apartment",Bedford-Stuyvesant,,150.0
13,MAISON DES SIRENES 2,Bedford-Stuyvesant,3.0,145.0
14,Large Sunny 1BR (Conv 2BR) Apt in Crown Heights Bk,Crown Heights,,102.0
15,"Beautiful, Bright’s, Warm & Spacious 1.5BR Apt",Crown Heights,4.0,140.0
16,"Lovely Room 2 in BEST AREA; Legal Rental, Spotless",South Slope,1.0,118.0
17,Sunny 2BR Midcentury Penthouse in Williamsburg,Williamsburg,1.0,235.0
18,Spacious Loft in Clinton Hill / Bed-Stuy,Bedford-Stuyvesant,5.0,250.0
19,"1 Stop fr. Manhattan! Private Suite,Landmark Block",Long Island City,4.666666666666667,145.0
20,Groovy NYC Chelsea Pad,Chelsea,3.0,150.0
21,Large Brand New Park Slope 1BR,Gowanus,5.0,130.0
22,Charming Brownstone 3 - Near PRATT,Bedford-Stuyvesant,5.0,119.0
23,Elegant NYC Pad,Ditmars Steinway,2.5,149.0
24,Blue Room for 2 in Brownstone for $1350 monthly,Bedford-Stuyvesant,,84.0
25,"Clean & bright 1BR in Cobble Hill, GREAT location!",Brooklyn Heights,2.5,208.0
26,Greenwich Village Brownstone -- Huge Private Deck,Chelsea,2.0,288.0
27,* ORIGINAL BROOKLYN LOFT *,Williamsburg,4.0,245.0
28,"Great new apt, close to everything",Hells Kitchen,1.0,250.0
29,Greenpoint Place...Has It All!,Greenpoint,4.666666666666667,99.0
30,Stylish Large SPARKLING Gramercy Loft!,Flatiron District,3.5,330.0
31,Cozy+equipped+super dedicated workspace PRIME WBG,Williamsburg,3.333333333333333,395.0
32,The Brownstone-Luxury 1 Bd Apt/NYC,East Harlem,5.0,160.0
33,South Slope Green,Windsor Terrace,,139.0
34,Sunny & Spacious Chelsea Apartment,Chelsea,,400.0
35,Tree lined block modern apartment,Bedford-Stuyvesant,5.0,150.0
36,"Spacious 1BR, Adorable Clean Quiet",Lower East Side,4.5,250.0
37,Convenient 3BR w/6 beds!!,Ridgewood,,211.0
38,Full Floor Loft ~ Six Windows ~ Home Theater ~ Tub,Williamsburg,4.0,564.0
39,"Artistic, Cozy, and Spacious w/ Patio! Sleeps 4",Chinatown,,300.0
40,"Beautiful, elegant 3 bed SOHO loft",Tribeca,5.0,500.0
41,Sunny East Village Apartment with rooftop,East Village,5.0,195.0
42,Spacious Greenwich Village Apt,Greenwich Village,,250.0
43,SpaHa Loft: Enormous and Bright,East Harlem,,300.0
44,SpaHa Studio Monthly Rental,East Harlem,,110.0
45,Lovely EV Artist's Home,East Village,5.0,220.0
46,"Bright, High Ceiling, Spacious & Cozy 1BR - Enjoy!",East Village,4.5,160.0
47,"Bright and spacious, garden below!",Upper West Side,,211.0
48,"Quiet, clean midtown apt w. elevato",Midtown,5.0,110.0
49,Great East Village Apartment Rental,East Village,3.0,130.0
50,Spacious luminous apt Upper West NYC,Harlem,5.0,110.0
51,2 bedroom Williamsburg Apt - Bedford L stop,Williamsburg,,105.0
52,Charming 1 bed GR8 WBurg LOCATION!,Williamsburg,,80.0
53,Style in Stuyvesant Heights,Bedford-Stuyvesant,2.5,120.0
54,Spacious Brooklyn Loft,Williamsburg,2.75,175.0
55,DOMINIQUE'S mini guest suite Efficiency pad* Metro,Eastchester,4.5,99.0
56,"Park Slope Apt:, Spacious 2 bedroom",Park Slope,2.0,165.0
57,House On Henry (3rd FLR Suite),Carroll Gardens,4.0,248.0
58,"Private, Large & Sunny Top Floor Apt  w/W&D",Bedford-Stuyvesant,3.0,135.0
59,Beautiful Duplex Apartment,Park Slope,,220.0
60,Prime East Village 1 Bedroom,East Village,4.0,200.0
61,"Modern Brooklyn Apt., August sublet",Williamsburg,,83.0
62,BROOKLYN  STUDIO APARTMENT,Crown Heights,4.0,100.0
63,"Massive Duplex, 2BR & 2BTH East Village 9+ Guests",East Village,5.0,459.0
64,"Luxe, Spacious 2BR 2BA Nr Trains",Gowanus,,260.0
65,Park Slope Green Guest House,South Slope,,90.0
66,Sugar Hill Rest Stop,Harlem,,190.0
67,Forest Hills 1 BR / 20 mins to city / ⭐️⭐️⭐️⭐️⭐️ BED,Forest Hills,2.0,123.0
68,Entire 2 Bedroom Apartment,Nolita,4.5,568.0
69,Garden studio in the Upper East Sid,Upper East Side,5.0,150.0
70,Farmhouse Apartment in Williamsburg,Williamsburg,2.0,85.0
71,Bright+Spacious Williamsburg Abode!,Williamsburg,,106.0
72,Prime Williamsburg Apartment,Williamsburg,,250.0
73,Garden apartment close to Manhattan,Fort Greene,4.0,170.0
74,"Historical home w/ exceptional space, light & art",Park Slope,,325.0
75,"Spacious,Sunny, private one bedroom",Crown Heights,,70.0
76,CHARMING CARROLL GARDENS APT.,Carroll Gardens,,190.0
77,Stylish Apartment with office space Near SoHo!,Lower East Side,1.0,185.0
78,East Village Charmer,East Village,3.5,215.0
79,Charming Garden Apt in Park Slope,Park Slope,3.0,174.0
80,"Lovely, Modern, Garden Apartment",Gowanus,3.0,210.0
81,Central Park 1BR sunny condo,East Harlem,4.0,130.0
82,Retreat in Williamsburg,Williamsburg,4.0,195.0
83,LUXURY OF THE HORIZON,Harlem,,599.0
84,"Sunny, Clean Zen Home w pr.Bath",Upper West Side,5.0,139.0
85,Cozy Garden Apartment  in Williamsburg,Williamsburg,,155.0
86,NYC - Sunny Greenwich Village 1br,West Village,3.0,175.0
87,Great location in Williamsburg,Williamsburg,3.6666666666666665,150.0
88,Prewar Penthouse w Private Terrace,Upper West Side,5.0,210.0
89,Best City Area Columbia U Upper West Side C Park,Upper West Side,2.0,173.0
90,Your own apartment off Park Avenue,Upper East Side,,250.0
91,Full Floor Brownstone,Harlem,5.0,100.0
92,Unique spacious loft on the Bowery,Nolita,4.0,596.0
93,"Nice renovated apt, prime location!",Upper West Side,5.0,160.0
94,Colorful 2+ Bedroom Apt. on NYC's Lower East Side,Lower East Side,5.0,250.0
95,"Sunlit 1 bedroom apt: Williamsburg, Brooklyn",Williamsburg,4.5,140.0
96,"Private, Large & Sunny 1BR w/W&D",Bedford-Stuyvesant,5.0,135.0
97,Beautiful Lower East Side Loft,Lower East Side,4.0,671.0
98,Park Slope Apartment,Park Slope,5.0,150.0
99,"All That Jazz: Bed, Book & Beyond",Washington Heights,5.0,332.0
100,House On Henry (2nd FLR Suite),Carroll Gardens,,203.0
101,Cozy apartment in a brownstone,Harlem,2.0,350.0
102,Studio 3 blocks from Empire State Building,Midtown,,185.0
103,Gigantic Private Brooklyn Loft!,Greenpoint,,229.0
104,Condo Apartment with Laundry and Assigned Parking,Kingsbridge,4.666666666666667,90.0
105,Clean and Cozy Harlem Apartment,Harlem,,100.0
106,1BR: See Central Park from Terrace!,Upper West Side,4.0,110.0
107,"Fort Greene, Brooklyn: Center Bedroom",Fort Greene,3.25,65.0
108,Large  Loft Style  Studio  Space,Bedford-Stuyvesant,4.5,65.0
109,Very close to Downtown Awesome Private Apartment,Gravesend,3.0,184.0
110,Purple Room for 2/3 in brownstone $1450 per month,Bedford-Stuyvesant,5.0,81.0
111,The Art Room for two in Brownstone for $1250/mo,Bedford-Stuyvesant,4.5,70.0
112,Alcove Studio w/ outdoor Patio Deck,East Harlem,2.333333333333333,120.0
113,The Happy home!,East Harlem,4.0,79.0
114,Luxury HiRise XL 1BR Skyline views,Hells Kitchen,5.0,299.0
115,Prime Williamsburg 3 BR with Deck,Williamsburg,4.0,582.0
116,Bright spacious brooklyn apt,Crown Heights,,94.0
117,Beautiful Brooklyn Oasis,Crown Heights,5.0,130.0
118,☆ STUDIO East Village ☆ Own bath! ☆ Sleeps 5,East Village,4.5,179.0
119,One Bedroom Mini studio - Free WIFI,Astoria,2.0,119.0
120,Deluxe Harlem 2 Bedroom,Harlem,5.0,149.0
121,"Sunlit and Cozy Williamsburg/Greenpoint, Brooklyn",Greenpoint,,75.0
122,Bright Cozy Chinatown Studio Apt.,Lower East Side,5.0,175.0
123,Nice Manhattan Apt Near Central Park and Subway,Upper West Side,3.5,250.0
124,800 sq foot 2 bedroom apt (Monthly Only),Upper West Side,4.0,187.0
125,"3 BR, Beautiful Brooklyn Duplex",Carroll Gardens,5.0,350.0
126,"Spacious 1br, Sleeps 4 comfortably, dishwasher, TV",Williamsburg,5.0,146.0
127,Spring st SoHo Apartment,Nolita,4.0,399.0
128,Creative Vintage Loft in S. Williamsburg,Williamsburg,,85.0
129,Crown Height's Brooklyn Cozy Apt,Crown Heights,,250.0
130,Amazing West Village 2br,West Village,5.0,200.0
131,Brooklyn Brownstone apartment,Bedford-Stuyvesant,2.0,134.0
132,"Sweet Apt, Steps From Gramercy Park",Gramercy,4.5,139.0
133,A PRIVATE FLAT / APARTMENT- $SPECIAL$,Allerton,,173.0
134,Loft Suite,Greenpoint,,339.0
135,QT STUDIO FOR ROMANTIC COUPLES,Chinatown,,121.0
136,Comfort at Crossroads of Downtown,Chelsea,4.666666666666667,250.0
137,Hells Kitchen Ground Fl 1-bedroom,Hells Kitchen,5.0,175.0
138,UNION SQUARE/ E. VILL 1BR BEAUTIFUL,East Village,2.333333333333333,165.0
139,Large & bright 900ft² 1br in WV,West Village,,246.0
140,Bed Stuy Pride! Welcome to Brooklyn,Bedford-Stuyvesant,4.0,77.0
141,Lovely Hell's Kitchen Studio...,Hells Kitchen,3.5,175.0
142,Carroll Gardens Gem-2BD with Garden,Carroll Gardens,,259.0
143,SPACIOUS PRIVATE LITTLE ITALY FLAT,Chinatown,1.0,122.0
144,Spacious & Comfy BK Brownstone,Crown Heights,3.0,108.0
145,Large Luxury Upper East Side Studio,Upper East Side,2.0,179.0
146,Lovely Brooklyn Brownstone 1BR!,Prospect Heights,3.0,175.0
147,Sunny 1BR Center of East Village!,East Village,4.0,188.0
148,The Lenox in Harlem,Harlem,,400.0
149,Beautiful Grdn. Apt. in Park Slope,Park Slope,4.0,130.0
150,Decorators 5-Star Flat West Village,West Village,,450.0
151,Presence Guest Room - Chelsea NYC,Chelsea,5.0,128.0
152,Beautiful SoHo Luxury Apartment,SoHo,5.0,249.0
153,1 bedroom apt in Midtown West,Hells Kitchen,5.0,157.0
154,Loft Suite,Greenpoint,,339.0
155,Beautiful Spacious One Bedroom,Crown Heights,5.0,100.0
156,Loft Suite,Greenpoint,5.0,339.0
157,Loft Suite,Greenpoint,5.0,339.0
158,Loft Suite,Greenpoint,4.0,339.0
159,Loft Suite,Greenpoint,3.0,339.0
160,Loft Suite,Greenpoint,4.25,339.0
