id_acc,id_renter
0,10258
1,10262
2,10048
3,12410
4,12425
5,11178
6,11446
7,11524
8,11391
9,12483
10,11757
11,10330
12,11523
13,11316
14,12287
15,12054
16,10039
17,11824
18,12056
19,11999
20,11301
21,10552
22,10384
23,10809
24,10919
25,10349
26,12391
27,11964
28,12481
29,11608
30,12470
31,10083
32,10019
33,11168
34,10862
35,10783
36,12055
37,11676
38,10800
39,10738
40,12094
41,11943
42,10336
43,12254
44,12089
45,11914
46,10132
47,11909
48,12232
49,10116
50,10166
51,10181
52,11687
53,11202
54,11876
55,10969
56,10076
57,12125
58,12220
59,11983
60,10389
61,10942
62,10252
63,10273
64,10315
65,11014
66,11097
67,10855
68,11230
69,11277
70,11623
71,11173
72,10591
73,10026
74,10264
75,12164
76,11519
77,11511
78,11164
79,11281
80,11698
81,12213
82,11454
83,12318
84,10174
85,11832
86,10401
87,11122
88,10985
89,10636
90,11381
91,12023
92,11554
93,12244
94,11090
95,10071
96,12456
97,12181
98,11932
99,10897
100,12487
101,10910
102,11853
103,10469
104,10349
105,10195
106,11050
107,11230
108,11218
109,11792
110,10352
111,10853
112,10210
113,10539
114,12287
115,11371
116,12481
117,10880
118,10281
119,12171
120,10943
121,12121
122,11915
123,12002
124,10986
125,10762
126,11581
127,11135
128,10091
129,10063
130,11880
131,10593
132,11683
133,10160
134,11521
135,10873
136,11699
137,11076
138,12134
139,10284
140,12271
141,12235
142,10970
143,11944
144,11344
145,10408
146,10134
147,11847
148,10673
149,12420
150,11728
151,10152
152,11862
153,10568
154,11537
155,11437
156,12429
157,11055
158,10989
159,10479
160,11311
161,10313
162,11367
163,11886
164,10738
165,11130
166,11559
167,11661
168,10809
169,12421
170,10862
171,11473
172,10447
173,12197
174,12330
175,11233
176,12162
177,11322
178,11786
179,12135
180,11160
181,10473
182,10620
183,10586
184,10974
185,11095
186,11531
187,11033
188,11915
189,11350
190,12134
191,10743
192,11823
193,11447
194,10514
195,11597
196,11898
197,10071
198,12053
199,10266
200,10639
201,10073
202,11107
203,10731
204,12499
205,10023
206,11209
207,10146
208,10297
209,10052
210,10543
211,11774
212,11248
213,11769
214,10040
215,11439
216,12499
217,11621
218,10433
219,10734
220,11934
221,10267
222,10100
223,10919
224,11806
225,11087
226,12353
227,11477
228,11129
229,11714
230,10942
231,10585
232,10125
233,12144
234,11201
235,12148
236,10059
237,10549
238,12410
239,11772
240,11656
241,11912
242,11841
243,11649
244,11184
245,12258
246,11377
247,11115
248,11272
249,11512
250,10316
251,11699
252,11814
253,11803
254,12063
255,10332
256,10360
257,12352
258,12484
259,10728
260,12194
261,10496
262,12050
263,11198
264,10397
265,12312
266,10171
267,12277
268,11587
269,10642
270,11633
271,11001
272,11693
273,11297
274,10262
275,11674
276,10877
277,11381
278,10991
279,10981
280,10694
281,10512
282,11005
283,12238
284,11723
285,10720
286,12462
287,10023
288,10173
289,11878
290,10590
291,11661
292,11368
293,10508
294,11853
295,12400
296,10884
297,11002
298,10985
299,10319
300,11402
301,12183
302,10294
303,11070
304,10779
305,11524
306,10654
307,10279
308,10759
309,11614
310,11057
311,11743
312,12130
313,12429
314,10238
315,10887
316,11384
317,11349
318,11337
319,10369
320,10175
321,12105
322,10954
323,11278
324,10531
325,12168
326,10244
327,12200
328,12176
329,12261
330,11688
331,11669
332,12079
333,10840
334,11768
335,11611
336,12162
337,10973
338,11975
339,10059
340,12200
341,11194
342,12454
343,12096
344,10537
345,12205
346,11824
347,11930
348,10707
349,10967
350,11022
351,11902
352,11176
353,12207
354,10476
355,12133
356,10154
357,11918
358,10446
359,10024
360,11638
361,11953
362,10201
363,11035
364,12282
365,11112
366,12475
367,11751
368,10739
369,11850
370,11339
371,10005
372,11590
373,12142
374,10855
375,12108
376,10694
377,11596
378,11131
379,10148
380,12202
381,10746
382,10421
383,11432
384,10161
385,10980
386,12278
387,12444
388,10917
389,11711
390,11034
391,11074
392,10161
393,11978
394,11830
395,11415
396,11243
397,11091
398,12115
399,11169
400,11396
401,10028
402,11013
403,12205
404,10438
405,12228
406,12328
407,10724
408,12345
409,12355
410,10952
411,10457
412,10852
413,11344
414,11965
415,10448
416,12250
417,10521
418,11400
419,10670
420,11768
421,10592
422,10505
423,11120
424,10185
425,11440
426,10927
427,10092
428,10184
429,11025
430,10141
431,10251
432,10759
433,11997
434,11088
435,12043
436,11728
437,10710
438,11034
439,10605
440,11667
441,10080
442,10535
443,10982
444,12343
445,10262
446,10010
447,11132
448,10443
449,10877
450,10234
451,11183
452,12342
453,11327
454,11388
455,10789
456,10736
457,10607
458,10991
459,11111
460,11607
461,11201
462,12107
463,11826
464,12162
465,11589
466,11765
467,11618
468,10683
469,10002
470,11891
471,11744
472,10120
473,11456
474,11927
475,10496
476,11300
477,11298
478,10346
479,10872
480,10852
481,11342
482,11148
483,12425
484,11249
485,11934
486,10392
487,11132
488,10509
489,11780
490,10112
491,12331
492,11902
493,12171
494,11093
495,12063
496,11338
497,10347
498,11955
499,10442
500,10341
501,10096
502,10032
503,10247
504,11839
505,10226
506,10690
507,10096
508,12388
509,10062
510,10459
511,10405
512,11717
513,12370
514,11453
515,12360
516,12164
517,10278
518,10326
519,11873
520,10918
521,10153
522,12406
523,12278
524,11821
525,12390
526,12080
527,10923
528,11319
529,12071
530,10903
531,11503
532,11749
533,11185
534,10222
535,12398
536,10330
537,11594
538,11890
539,12422
540,10109
541,11611
542,12401
543,12293
544,12290
545,11208
546,12118
547,10855
548,11968
549,11199
550,10862
551,10343
552,10561
553,10938
554,11966
555,10716
556,12390
557,11436
558,10513
559,12199
560,12323
561,10459
562,10422
563,12447
564,10854
565,11300
566,12167
567,10505
568,11137
569,11974
570,11280
571,12321
572,10939
573,10529
574,11607
575,11241
576,11398
577,11537
578,12467
579,11208
580,11062
581,11752
582,11782
583,11761
584,10510
585,10607
586,10331
587,10892
588,12294
589,10637
590,10083
591,12162
592,10380
593,10100
594,10305
