id_cust,id_acc,rate,date
9351,5208,4,2015-08-18
4088,13060,2,2016-12-25
8686,12463,3,2022-04-27
4737,3685,5,2018-01-22
2291,2635,5,2018-10-03
1233,10291,5,2015-10-10
4219,6388,5,2018-03-22
4083,298,4,2020-03-16
2078,15084,5,2020-05-01
8962,2088,5,2015-12-24
9471,10270,2,2017-11-10
8552,12129,4,2017-02-07
240,10141,4,2020-02-08
6170,5546,3,2018-03-28
9917,10507,4,2019-03-24
1469,16033,1,2017-11-04
5204,5981,2,2022-07-10
3625,10971,5,2019-06-19
9472,11190,5,2018-10-14
49,11414,3,2020-03-29
4952,1164,5,2015-03-31
6606,14517,5,2018-11-13
6127,15312,4,2018-01-02
2897,16238,5,2018-03-31
1867,11446,2,2020-05-21
3936,12087,3,2020-10-12
5373,1542,4,2022-03-12
1561,13401,3,2017-06-30
746,5826,4,2017-02-27
9960,9291,4,2017-07-13
4537,6690,4,2021-01-21
2846,989,4,2019-01-22
5455,7790,1,2017-01-29
8420,15560,2,2020-03-04
2341,1752,4,2017-01-01
8065,13806,4,2018-04-03
4576,5598,4,2020-01-12
8256,13273,5,2019-12-11
7167,7004,4,2017-07-31
2035,1397,1,2015-11-02
1321,11850,2,2017-02-23
8232,5766,4,2018-01-23
5319,11939,2,2021-04-17
7553,16184,2,2021-02-09
7328,4408,3,2018-06-19
9354,8300,3,2020-05-26
383,12385,5,2020-05-04
615,15738,5,2020-05-15
5013,7523,5,2021-08-30
7810,2788,4,2021-07-18
1922,11428,5,2022-09-10
5657,8282,5,2017-10-22
1684,13091,3,2022-02-25
310,573,5,2016-10-03
3663,13909,3,2022-03-03
7317,9537,5,2017-07-09
6940,14382,5,2022-01-14
6861,13027,5,2017-05-09
7360,9791,4,2017-03-14
3708,16475,5,2022-06-09
9106,2951,5,2016-12-17
1027,1046,5,2018-11-18
5912,2623,4,2017-07-29
6301,12071,1,2019-07-28
4604,6346,5,2020-03-11
9302,10021,3,2017-09-23
1087,13814,3,2018-04-15
4379,109,1,2017-04-22
4720,16433,4,2019-10-16
7580,2530,2,2019-04-21
9910,1074,5,2021-01-30
3068,5417,5,2018-09-10
3112,7203,4,2016-10-29
1889,10795,5,2016-11-25
5730,1524,1,2015-05-17
5881,112,1,2021-10-07
9958,15714,4,2020-12-22
7005,3148,2,2021-01-23
2764,12888,5,2019-01-19
5200,1744,5,2021-12-23
9131,7091,2,2022-12-22
1504,6213,4,2021-06-26
8701,4860,4,2020-02-11
9814,6993,5,2015-08-31
4620,2452,4,2019-11-28
3071,10578,1,2015-04-24
504,9997,4,2018-02-17
6563,9495,4,2019-02-27
4979,256,5,2015-12-19
201,1000,1,2016-11-20
1072,3151,4,2015-07-17
7131,16452,4,2015-11-05
1993,9372,4,2019-09-21
3880,3744,4,2019-03-26
4268,12312,1,2017-10-09
3058,7932,3,2018-09-22
6623,15386,1,2016-12-03
5449,9408,3,2017-08-14
5351,2322,1,2022-06-25
1402,11141,5,2021-03-02
4247,8955,3,2020-02-20
4935,12203,3,2021-04-06
4277,7168,4,2021-09-18
4214,2292,4,2017-08-24
8261,2463,5,2018-01-06
4069,7397,5,2022-06-18
7712,11897,3,2016-08-16
595,16317,4,2016-04-27
116,7078,5,2022-04-04
5204,3000,4,2015-06-06
5565,4179,4,2020-07-17
4945,4824,5,2019-05-25
9847,2150,4,2021-08-03
9622,3235,5,2016-09-26
7365,11279,5,2018-01-31
6137,2597,4,2019-12-25
8833,13397,4,2021-12-15
4288,4583,4,2018-02-28
8638,15329,5,2017-08-25
1517,1728,4,2018-10-05
1084,14788,5,2017-05-02
518,3409,4,2021-01-16
6597,12238,5,2019-03-29
2016,4812,3,2020-03-01
4078,14803,5,2018-06-03
3165,11667,4,2021-03-21
857,7480,4,2017-11-22
8305,9601,3,2020-09-18
5012,859,4,2018-04-23
3548,13958,4,2018-11-18
7919,13656,3,2018-11-04
189,1582,1,2020-10-20
